GeneID,GeneName,IsCoding,log2FoldChange,stat,pvalue,padj,MDA-Enza_1,MDA-Enza_2,MDA-Enza_3,MDA-DMSO_1,MDA-DMSO_2,MDA-DMSO_3
ENSG00000243449,C4orf48,TRUE,0.076200526,0.737901249,0.46057446,0.542267101,819.046243,777.7186499,888.3248153,850.6769101,701.6494668,801.9422513
ENSG00000269921,RP11-646I6.5,FALSE,-0.187220255,-0.737720986,0.460684017,0.542366644,81.81058914,84.33093795,64.76095628,70.37229914,97.50716086,96.04098818
ENSG00000067177,PHKA1,TRUE,0.039997572,0.737629383,0.460739695,0.542402748,5612.958696,5721.726365,5849.258447,5530.434803,5521.719944,5658.735023
ENSG00000225171,DUTP6,FALSE,0.785307923,0.737172711,0.461017326,0.542680296,11.28421919,2.555482968,8.553333848,0,9.047056162,3.841639527
ENSG00000260500,CTD-3193O13.1,FALSE,0.407333803,0.737133842,0.461040961,0.542680296,20.68773519,12.77741484,18.32857253,10.34886752,15.07842694,13.44573834
ENSG00000100578,KIAA0586,TRUE,0.046450411,0.73709326,0.461065638,0.542680296,3785.855539,3818.743382,3500.757353,3666.603762,3549.461701,3543.912464
ENSG00000253923,KB-1980E6.2,FALSE,0.372490977,0.737076953,0.461075554,0.542680296,31.97195438,21.2956914,21.99428704,17.59307478,30.15685387,10.5645087
ENSG00000185837,CECR5-AS1,FALSE,0.24699769,0.736881628,0.461194337,0.542757839,41.37547037,56.2206253,47.65428858,31.04660256,47.24573774,44.17885456
ENSG00000242852,ZNF709,TRUE,0.428733059,0.73685697,0.461209334,0.542757839,20.68773519,11.92558718,15.88476286,9.313980768,16.0836554,10.5645087
ENSG00000187801,ZFP69B,TRUE,-0.07264817,-0.736845155,0.46121652,0.542757839,624.393462,623.5378442,684.2667078,713.0369721,660.4350998,655.9599492
ENSG00000163009,C2orf48,TRUE,0.489538714,0.736634624,0.461344573,0.542879072,11.28421919,9.370104216,14.66285802,7.244207264,9.047056162,8.643688936
ENSG00000233966,UBE2SP1,FALSE,-0.17005169,-0.736488083,0.461433717,0.542954508,88.39305034,88.59007623,76.98000463,98.31424144,84.43919085,103.7242672
ENSG00000272305,RP11-894J14.5,TRUE,0.186000241,0.736402862,0.461485564,0.542986052,86.51234714,86.03459326,111.19334,64.16297862,98.51238932,85.47647948
ENSG00000198691,ABCA4,TRUE,0.362470635,0.736249408,0.461578929,0.543066442,23.50878998,25.55482968,28.10381121,25.8721688,9.047056162,24.97065693
ENSG00000161958,FGF11,TRUE,0.442433547,0.73619628,0.461611256,0.543075012,13.16492239,18.74020843,15.88476286,14.48841453,15.07842694,5.762459291
ENSG00000198723,C19orf45,TRUE,-0.454257129,-0.735706904,0.461909087,0.543395924,8.463164394,12.77741484,12.21904835,16.55818803,8.0418277,21.1290174
ENSG00000107938,EDRF1,TRUE,0.046911511,0.735422928,0.462081962,0.54356981,5049.688088,4897.157194,4610.246944,4548.327275,4919.588095,4628.21522
ENSG00000201659,RNU12-2P,FALSE,-0.687921113,-0.735046796,0.462310995,0.543809733,3.761406397,4.25913828,4.887619342,3.104660256,5.026142312,12.48532846
ENSG00000206651,Y_RNA,FALSE,-0.676138833,-0.734939525,0.462376325,0.54385708,3.761406397,3.407310624,6.109524177,3.104660256,11.05751309,6.722869172
ENSG00000269483,AC006272.1,FALSE,-0.372731184,-0.73429686,0.462767831,0.544288057,22.56843838,14.48107015,23.21619187,12.41864102,37.19345311,27.85188657
ENSG00000236809,SNX25P1,FALSE,0.655919612,0.734236695,0.462804493,0.544301656,4.701757997,8.51827656,7.331429012,5.17443376,5.026142312,2.881229645
